Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,How many contacts do you have in your phone?Please round to the nearest multiple of 20. ,What is your most-used messenger?,How many people (1-1 chats) did you write to/get messages from on your main messenger in the past day?,How many people did you write to/get messages from in the past week?,During which hours are you most active on messaging apps? (Select all that apply) [6 AM – 12 PM],During which hours are you most active on messaging apps? (Select all that apply) [12 PM – 6 PM],During which hours are you most active on messaging apps? (Select all that apply) [6 PM – 12 AM],During which hours are you most active on messaging apps? (Select all that apply) [12 AM – 6 AM],Which of the following best describes how you use your main messaging app?(Select one),Do you use multiple messaging apps to communicate with the same contacts?,"Do you use your messaging app on multiple devices (e.g., phone and tablet)?",When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in that chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,When did you receive the first message yesterday?,When did you send the first message to your most recent chat yesterday?,When did you receive the last message yesterday?,When did you send the last message yesterday?,How many pictures did you send in the chat over the last day?,Do you meet this person at least once a week (for most weeks)?,Please look at the first group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the second group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the third group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the fourth group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,Please look at the fifth group and tell us how many participants the group has. Please round to the closest multiple of five.,How long have you been a participant in this group?,Do you meet at least one group participant per week (for most weeks)?,"Have you ever noticed a notification about a contact's security code or key changing? [Yes, multiple times]","Have you ever noticed a notification about a contact's security code or key changing? [Yes, once or twice]",Have you ever noticed a notification about a contact's security code or key changing? [No],Have you ever noticed a notification about a contact's security code or key changing? [Not sure],What do you usually do when you see a key change notification? (Select all that apply) [Ignore it],What do you usually do when you see a key change notification? (Select all that apply) [Ask the contact about it],What do you usually do when you see a key change notification? (Select all that apply) [Manually verify the new key],What do you usually do when you see a key change notification? (Select all that apply) [Stop messaging until clarified],What do you usually do when you see a key change notification? (Select all that apply) [I don't remember seeing such notifications],How often do you change devices or reinstall your messaging app?,Do you know the meaning of the key change notification?,Please give your age range
4,2025-05-20 10:43:30,13,en,2014458406,2025-05-20 10:36:10,2025-05-20 10:43:30,300,Signal,6,11,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently",08:45, 08:45:00, 15:00:00, 16:15:00,0,Yes, 07:15:00, 07:30:00, 21:00:00, 22:30:00,7,No, 14:15:00, 14:15:00, 16:00:00, 15:00:00,0,Yes, 15:00:00, 14:15:00, 15:00:00, 15:00:00,0,No, 12:45:00, 12:45:00, 14:15:00, 14:15:00,0,No,30,longer,Yes,5,less than a year,No,5,longer,No,5,longer,No,15,less than three months,Yes,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
8,2025-05-20 11:20:33,13,en,743127663,2025-05-20 11:10:48,2025-05-20 11:20:33,360,Signal,4,10,No,Yes,No,No,I only respond when someone messages me,Occasionally,"Yes, frequently",05:30, 06:30:00, 21:45:00, 23:30:00,0,Yes, 11:30:00, 11:15:00, 22:00:00, 22:15:00,0,Yes, 17:15:00, 17:30:00, 17:30:00, 17:30:00,0,Yes, 09:00:00, 08:45:00, 22:15:00, 22:15:00,1,Yes, 19:00:00, 18:00:00, 19:45:00, 20:00:00,1,Yes,5,longer,Yes,10,less than two years,Yes,5,less than two years,No,85,less than a year,No,5,less than six months,No,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
9,,2,en,1785793777,2025-05-20 12:19:44,2025-05-20 12:27:59,200,Whatsapp,4,12,No,No,Yes,No,I only use it occasionally for specific people or topics,Occasionally,Occasionally,14:15, 19:15:00, 22:00:00, 22:00:00,2,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
11,2025-05-20 13:23:34,13,en,1393388115,2025-05-20 13:13:51,2025-05-20 13:23:34,460,Whatsapp,10,20,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,Rarely,06:30, 09:45:00, 22:00:00, 20:30:00,4,Yes, 17:00:00, 17:30:00, 19:45:00, 17:30:00,0,Yes, 14:00:00, 15:30:00, 15:45:00, 15:45:00,0,No,,,,,,N/A,,,,,,N/A,10,longer,Yes,5,less than six months,Yes,20,less than six months,Yes,5,less than two years,Yes,5,longer,Yes,No,No,No,Yes,No,No,No,No,Yes,Rarely or never,No,20-29
13,,1,en,1411560262,2025-05-20 13:39:39,2025-05-20 13:40:47,300,Threema,10,15,Yes,Yes,No,No,I'm messaging someone almost constantly throughout the day,"Yes, frequently","Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
14,,1,en,1629493292,2025-05-20 14:38:38,2025-05-20 14:39:44,1000,Signal,10,20,No,No,Yes,No,I'm messaging someone almost constantly throughout the day,Occasionally,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
16,,4,en,1984952331,2025-05-20 15:37:39,2025-05-20 15:48:50,120,Signal,9,13,No,Yes,No,No,I'm messaging someone almost constantly throughout the day,Rarely,"Yes, frequently", 07:00:00, 07:00:00, 23:15:00, 23:30:00,2,Yes, 22:15:00, 22:15:00, 22:15:00, 22:15:00,0,No, 16:00:00, 15:00:00, 16:15:00, 21:45:00,0,No,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
17,,0,en,717353411,2025-05-20 15:55:11,2025-05-20 15:59:26,,,,,No,No,No,No,,,,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
18,,1,en,1025301412,2025-05-20 16:09:45,2025-05-20 16:16:14,100,Signal,5,6,No,Yes,No,No,I'm messaging someone almost constantly throughout the day,"Yes, frequently","Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
21,2025-05-20 16:28:39,13,en,85103651,2025-05-20 16:20:10,2025-05-20 16:28:39,200,Signal,3,6,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 08:45:00, 08:30:00, 22:15:00, 18:15:00,3,Yes, 20:30:00, 20:30:00, 21:30:00, 21:30:00,0,Yes, 10:30:00, 10:30:00, 13:30:00, 13:30:00,2,No,,,,,,N/A,,,,,,N/A,5,longer,Yes,10,less than a year,Yes,5,less than two years,Yes,,,N/A,,,N/A,Yes,No,No,No,Yes,Yes,No,No,No,Once or twice a year,Yes,30-39
22,,1,en,249228726,2025-05-20 16:20:59,2025-05-20 16:23:09,448,Signal,5,10,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,Occasionally,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
23,,4,en,1796660906,2025-05-20 16:22:40,2025-05-20 16:25:33,20,Signal,1,2,No,No,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 14:30:00, 14:45:00, 14:45:00, 15:00:00,1,No, 14:30:00, 14:45:00, 14:45:00, 15:00:00,1,No, 14:30:00, 14:45:00, 14:45:00, 15:00:00,1,No,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
24,,1,en,1375322876,2025-05-20 16:29:45,2025-05-20 16:32:47,120,Whatsapp,6,13,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
25,2025-05-20 16:41:02,13,en,1267270375,2025-05-20 16:29:53,2025-05-20 16:41:02,80,Signal,10,15,No,No,Yes,No,I only respond when someone messages me,Occasionally,"Yes, frequently", 14:30:00, 14:30:00, 14:45:00, 20:30:00,0,No, 16:00:00, 14:30:00, 16:00:00, 16:15:00,0,No, 15:00:00, 14:45:00, 15:00:00, 15:15:00,0,No, 14:30:00, 14:30:00, 14:30:00, 14:30:00,0,No,,,,,,N/A,6,less than a year,No,5,less than a year,No,29,longer,Yes,6,longer,Yes,5,less than two years,Yes,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,30-39
27,,1,en,1680079249,2025-05-20 16:43:26,2025-05-20 16:45:46,80,Whatsapp,6,20,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
28,2025-05-20 16:53:02,13,en,643476809,2025-05-20 16:44:24,2025-05-20 16:53:02,280,Whatsapp,10,21,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,"Yes, frequently", 12:15:00, 12:15:00, 18:15:00, 19:15:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,5,less than a year,Yes,85,longer,No,25,longer,Yes,5,less than three months,Yes,15,less than two years,Yes,Yes,No,No,No,Yes,No,No,No,No,Rarely or never,Yes,20-29
29,,2,en,1630890204,2025-05-20 17:10:34,2025-05-20 17:16:05,50,Whatsapp,5,8,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Rarely,Never, 07:15:00, 17:15:00,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
30,,2,en,1099371383,2025-05-20 17:21:04,2025-05-20 17:23:03,1000,Whatsapp,10,15,No,No,Yes,No,I only use it occasionally for specific people or topics,"Yes, frequently",Occasionally, 00:15:00, 00:15:00, 17:30:00, 17:15:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
32,2025-05-20 18:07:06,13,en,1353362686,2025-05-20 17:59:42,2025-05-20 18:07:06,260,Whatsapp,4,14,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently", 15:15:00, 12:00:00, 17:30:00, 21:00:00,0,No, 17:30:00, 17:30:00, 17:30:00, 17:30:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,5,less than a year,Yes,30,less than a year,Yes,5,less than six months,Yes,5,less than six months,Yes,90,longer,Yes,No,No,Yes,No,No,No,No,No,Yes,Rarely or never,Yes,20-29
33,,1,en,1669991651,2025-05-20 18:09:23,2025-05-20 18:10:43,420,Signal,6,15,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
34,2025-05-20 19:00:52,13,en,2014087848,2025-05-20 18:41:04,2025-05-20 19:00:52,140,Whatsapp,5,21,No,No,Yes,No,I'm messaging someone almost constantly throughout the day,Rarely,Rarely, 15:15:00, 15:00:00, 22:45:00, 23:00:00,3,No, 16:00:00, 16:00:00, 16:15:00, 21:45:00,5,Yes, 16:00:00, 15:45:00, 17:15:00, 16:30:00,0,Yes, 11:15:00, 17:00:00, 19:30:00, 19:45:00,0,Yes,, 15:00:00,,,0,Yes,10,longer,Yes,3,less than three months,No,3,less than two years,Yes,10,less than a year,Yes,10,less than six months,Yes,No,No,No,Yes,No,No,No,No,Yes,Rarely or never,No,20-29
35,2025-05-20 18:59:49,13,en,394324529,2025-05-20 18:42:02,2025-05-20 18:59:49,480,Whatsapp,16,46,Yes,Yes,Yes,No,I'm messaging someone almost constantly throughout the day,Occasionally,Rarely, 16:00:00, 16:15:00, 21:45:00, 16:45:00,1,Yes, 18:45:00, 21:30:00, 18:45:00, 21:30:00,0,No, 16:30:00, 16:30:00, 16:30:00, 16:30:00,0,No, 16:30:00, 16:30:00, 16:30:00, 16:30:00,0,No, 16:30:00, 16:30:00, 16:30:00, 16:30:00,0,No,65,longer,Yes,35,longer,No,5,less than three months,No,40,longer,No,3,less than two years,Yes,No,No,Yes,No,No,No,No,No,Yes,Rarely or never,Yes,20-29
36,2025-05-20 19:25:21,13,en,474298863,2025-05-20 18:56:30,2025-05-20 19:25:21,80,Signal,5,10,No,Yes,Yes,No,I only use it occasionally for specific people or topics,Never,"Yes, frequently", 08:00:00, 08:00:00, 20:00:00, 19:45:00,1,Yes, 07:30:00, 07:45:00, 07:30:00, 07:45:00,1,No, 00:15:00, 17:45:00, 00:15:00, 18:00:00,0,No, 07:00:00, 07:00:00, 15:45:00, 15:45:00,2,No, 21:00:00, 21:00:00, 21:15:00, 21:00:00,0,No,5,longer,Yes,15,less than a year,No,10,less than three months,Yes,5,less than two years,No,5,less than a year,No,No,No,Yes,No,No,No,No,No,Yes,Rarely or never,No,30-39
38,,1,en,406752359,2025-05-20 19:21:27,2025-05-20 19:23:15,140,Signal,2,6,Yes,Yes,No,No,I only respond when someone messages me,Rarely,Occasionally,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
39,2025-05-20 19:56:35,13,en,547532516,2025-05-20 19:42:40,2025-05-20 19:56:35,0,Signal,8,25,Yes,No,Yes,No,I'm messaging someone almost constantly throughout the day,Rarely,"Yes, frequently", 02:30:00, 06:45:00, 23:00:00, 23:00:00,1,No, 08:00:00, 15:15:00, 22:00:00, 22:00:00,3,Yes, 17:00:00, 12:45:00, 17:00:00, 13:45:00,0,No, 17:30:00,, 18:45:00,,0,No, 11:30:00, 11:30:00, 22:15:00, 22:15:00,0,Yes,15,longer,Yes,20,longer,No,5,less than two years,Yes,30,longer,Yes,10,longer,No,Yes,No,No,No,No,Yes,Yes,No,No,Once or twice a year,Yes,30-39
40,,7,en,1881018527,2025-05-20 19:57:26,2025-05-20 20:02:05,200,Signal,8,18,Yes,Yes,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
42,,2,en,67238160,2025-05-20 22:07:30,2025-05-20 22:13:03,100,Whatsapp,5,10,No,Yes,Yes,No,I check in a few times a day and reply to messages in batches,"Yes, frequently","Yes, frequently", 15:00:00, 06:45:00, 17:15:00, 17:15:00,0,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
43,,1,en,2057891538,2025-05-21 05:12:51,2025-05-21 05:14:21,120,Telegram,3,6,Yes,Yes,No,No,I only respond when someone messages me,Occasionally,"Yes, frequently",,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
44,,2,en,1851884969,2025-05-21 05:29:17,2025-05-21 05:30:56,300,Whatsapp,20,5,No,No,Yes,No,I'm messaging someone almost constantly throughout the day,"Yes, frequently",Occasionally, 00:00:00, 09:00:00, 09:00:00, 09:00:00,2,No,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
45,2025-05-21 08:01:55,13,en,515446388,2025-05-21 07:40:22,2025-05-21 08:01:55,800,Telegram,2,5,No,Yes,No,No,I only use it occasionally for specific people or topics,Rarely,Occasionally, 14:00:00, 11:30:00, 17:30:00, 17:45:00,0,Yes, 12:45:00, 12:30:00, 17:45:00, 15:45:00,0,No,,,,,,Yes,,,,,,Yes,,,,,,N/A,225,longer,No,10,less than two years,Yes,5,less than two years,Yes,10,less than a year,Yes,30,longer,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Rarely or never,Yes,30-39
46,,2,en,1059289499,2025-05-21 09:40:47,2025-05-21 09:44:01,160,Whatsapp,2,6,No,Yes,No,No,I check in a few times a day and reply to messages in batches,Occasionally,"Yes, frequently", 08:45:00, 09:30:00, 23:45:00, 23:45:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
48,,4,en,2027687028,2025-05-21 12:14:26,2025-05-21 12:27:45,200,Signal,7,12,No,No,Yes,Yes,I check in a few times a day and reply to messages in batches,Rarely,Occasionally, 09:30:00, 07:45:00, 23:45:00, 21:30:00,0,No, 15:30:00, 15:45:00, 15:30:00, 15:45:00,0,No, 09:30:00, 09:30:00, 09:30:00, 09:30:00,0,No,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
49,,2,en,323684970,2025-05-21 14:20:24,2025-05-21 14:24:28,80,Whatsapp,3,6,No,No,Yes,No,I check in a few times a day and reply to messages in batches,Never,Occasionally, 08:15:00, 16:30:00, 23:45:00, 22:00:00,0,Yes,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,
